Postnr	Poststad	Bruksområde	Kommunenummer	Lat	Lon	Merknad	Nynorsk	Bokmål	Engelsk	
8149	Neverdal	Gate-/veg-adresse	1837	66.83496	13.77393	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8149/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8149/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8149/varsel.xml	
8150	Ørnes	Gate-/veg-adresse	1837	66.87270	13.70730	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8150/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8150/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8150/varsel.xml	
8151	Ørnes	Postboksar	1837	66.87359	13.70805	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8151/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8151/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8151/varsel.xml	
8157	Meløy	Gate-/veg-adresse	1837	66.82320	13.40930	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8157/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8157/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8157/varsel.xml	
8158	Bolga	Gateadresser og postboksar	1837	66.80492	13.23512	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8158/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8158/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8158/varsel.xml	
8159	Støtt	Gateadresser og postboksar	1837	66.92440	13.44900	Datakvalitet: 3. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8159/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8159/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8159/varsel.xml	
8160	Glomfjord	Gate-/veg-adresse	1837	66.81660	13.94400	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8160/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8160/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8160/varsel.xml	
8161	Glomfjord	Postboksar	1837	66.81636	13.94433	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8161/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8161/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8161/varsel.xml	
8168	Engavågen	Postboksar	1837	66.77984	13.53443	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8168/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8168/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8168/varsel.xml	
8170	Engavågen	Gate-/veg-adresse	1837	66.77830	13.53250	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8170/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8170/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8170/varsel.xml	
8171	Svartisen gård (ikkje i bruk)	Gate-/veg-adresse	1837	66.70700	13.72140	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8171/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8171/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8171/varsel.xml	
8178	Halsa	Gateadresser og postboksar	1837	66.74321	13.55665	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8178/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8178/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8178/varsel.xml	
8181	Myken	Gateadresser og postboksar	1836	66.76110	12.48040	Datakvalitet: 3. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8181/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8181/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8181/varsel.xml	
8182	Melfjordbotn	Gate-/veg-adresse	1836	66.51560	13.67860	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8182/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8182/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8182/varsel.xml	
8184	Ågskardet	Gate-/veg-adresse	1837	66.71930	13.47060	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8184/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8184/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8184/varsel.xml	
8185	Vågaholmen	Gateadresser og postboksar	1836	66.71039	13.27566	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8185/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8185/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8185/varsel.xml	
8186	Tjongsfjorden	Gate-/veg-adresse	1836	66.69640	13.42340	Datakvalitet: 3. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8186/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8186/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8186/varsel.xml	
8187	Jektvik	Gateadresser og postboksar	1836	66.62614	13.29219	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8187/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8187/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8187/varsel.xml	
8188	Nordvernes	Gate-/veg-adresse	1836	66.66800	13.25140	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8188/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8188/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8188/varsel.xml	
8189	Gjersvikgrenda	Gate-/veg-adresse	1836	66.53140	13.04010	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8189/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8189/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8189/varsel.xml	
8190	Sørfjorden	Gateadresser og postboksar	1836	66.47700	13.25800	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/8190/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8190/varsel.xml	http://www.yr.no/sted/Norge/postnummer/8190/varsel.xml	
